model,sampler,prop,MR,MRR,hits@1,hits@5,hits@10
RotatE,EditHistoryNegativeSampler,http://www.wikidata.org/prop/direct/P31,21268.048293963253,0.1749371240452243,0.10866141732283464,0.24068241469816273,0.3083989501312336
RotatE,InverseEditHistoryNegativeSampler,http://www.wikidata.org/prop/direct/P31,7197.579790026247,0.2596436850221029,0.16272965879265092,0.38241469816272966,0.44461942257217846
RotatE,EditHistoryNegativeSampler (no edit wars),http://www.wikidata.org/prop/direct/P31,23577.3312335958,0.2106513403841276,0.14566929133858267,0.2795275590551181,0.33910761154855645
RotatE,BasicNegativeSampler,http://www.wikidata.org/prop/direct/P31,10819.282152230971,0.17744301645551055,0.08582677165354331,0.3,0.38188976377952755
TransE,EditHistoryNegativeSampler,http://www.wikidata.org/prop/direct/P31,2385.6181102362207,0.04252050907424404,0.015223097112860892,0.05538057742782152,0.09055118110236221
TransE,InverseEditHistoryNegativeSampler,http://www.wikidata.org/prop/direct/P31,2595.650131233596,0.046012397963539675,0.01994750656167979,0.05406824146981627,0.08346456692913386
TransE,EditHistoryNegativeSampler (no edit wars),http://www.wikidata.org/prop/direct/P31,2756.558530183727,0.05460017521090317,0.027559055118110236,0.07244094488188976,0.09711286089238845
TransE,BasicNegativeSampler,http://www.wikidata.org/prop/direct/P31,3204.6341207349083,0.09134442906361605,0.050131233595800524,0.12125984251968504,0.16377952755905512
MuRE,EditHistoryNegativeSampler,http://www.wikidata.org/prop/direct/P31,4650.840157480315,0.06253002667053972,0.01837270341207349,0.09002624671916011,0.14750656167979004
MuRE,InverseEditHistoryNegativeSampler,http://www.wikidata.org/prop/direct/P31,447.4876640419948,0.2366218111231371,0.14409448818897638,0.3299212598425197,0.42230971128608924
MuRE,EditHistoryNegativeSampler (no edit wars),http://www.wikidata.org/prop/direct/P31,3385.777165354331,0.0847977666488139,0.030971128608923884,0.12230971128608924,0.210498687664042
MuRE,BasicNegativeSampler,http://www.wikidata.org/prop/direct/P31,527.0404199475065,0.2044743482864735,0.1152230971128609,0.2937007874015748,0.38451443569553806
