model,sampler,prop,MR,MRR,hits@1,hits@5,hits@10
RotatE,EditHistoryNegativeSampler,http://www.wikidata.org/prop/direct/P106,17554.5,0.11624435261778747,0.07142857142857142,0.14285714285714285,0.14285714285714285
RotatE,InverseEditHistoryNegativeSampler,http://www.wikidata.org/prop/direct/P106,23370.035714285714,0.12757947023239044,0.07142857142857142,0.17857142857142858,0.17857142857142858
RotatE,EditHistoryNegativeSampler (no edit wars),http://www.wikidata.org/prop/direct/P106,25222.464285714286,0.12222624434880348,0.10714285714285714,0.14285714285714285,0.14285714285714285
RotatE,BasicNegativeSampler,http://www.wikidata.org/prop/direct/P106,24825.178571428572,0.11879789746795902,0.07142857142857142,0.14285714285714285,0.17857142857142858
TransE,EditHistoryNegativeSampler,http://www.wikidata.org/prop/direct/P106,7109.714285714285,0.09768186847755823,0.07142857142857142,0.10714285714285714,0.21428571428571427
TransE,InverseEditHistoryNegativeSampler,http://www.wikidata.org/prop/direct/P106,12258.5,0.08565526886786283,0.0,0.17857142857142858,0.25
TransE,EditHistoryNegativeSampler (no edit wars),http://www.wikidata.org/prop/direct/P106,10751.964285714286,0.12883277475951768,0.07142857142857142,0.17857142857142858,0.17857142857142858
TransE,BasicNegativeSampler,http://www.wikidata.org/prop/direct/P106,22702.321428571428,0.021344557232247863,0.0,0.03571428571428571,0.03571428571428571
MuRE,EditHistoryNegativeSampler,http://www.wikidata.org/prop/direct/P106,14729.82142857143,0.05468861735065498,0.0,0.07142857142857142,0.10714285714285714
MuRE,InverseEditHistoryNegativeSampler,http://www.wikidata.org/prop/direct/P106,10875.642857142857,0.13222812559710775,0.10714285714285714,0.10714285714285714,0.25
MuRE,EditHistoryNegativeSampler (no edit wars),http://www.wikidata.org/prop/direct/P106,9616.92857142857,0.044648285194822765,0.0,0.07142857142857142,0.10714285714285714
MuRE,BasicNegativeSampler,http://www.wikidata.org/prop/direct/P106,13625.964285714286,0.0446965553721324,0.0,0.07142857142857142,0.10714285714285714
RotatE,EditHistoryNegativeSampler,http://www.wikidata.org/prop/direct/P27,1439.125,0.060675034559743345,0.041666666666666664,0.08333333333333333,0.125
RotatE,InverseEditHistoryNegativeSampler,http://www.wikidata.org/prop/direct/P27,7320.541666666667,0.04434536972752706,0.0,0.125,0.16666666666666666
RotatE,EditHistoryNegativeSampler (no edit wars),http://www.wikidata.org/prop/direct/P27,18324.791666666668,0.025717002325868266,0.0,0.041666666666666664,0.125
RotatE,BasicNegativeSampler,http://www.wikidata.org/prop/direct/P27,6581.583333333333,0.03683079295851344,0.0,0.041666666666666664,0.08333333333333333
TransE,EditHistoryNegativeSampler,http://www.wikidata.org/prop/direct/P27,3971.7916666666665,0.004163828702265184,0.0,0.0,0.0
TransE,InverseEditHistoryNegativeSampler,http://www.wikidata.org/prop/direct/P27,2484.6666666666665,0.004763891850854824,0.0,0.0,0.0
TransE,EditHistoryNegativeSampler (no edit wars),http://www.wikidata.org/prop/direct/P27,2119.5416666666665,0.005529385108552565,0.0,0.0,0.0
TransE,BasicNegativeSampler,http://www.wikidata.org/prop/direct/P27,6759.791666666667,0.044652836239039706,0.041666666666666664,0.041666666666666664,0.041666666666666664
MuRE,EditHistoryNegativeSampler,http://www.wikidata.org/prop/direct/P27,769.375,0.050421533666003514,0.0,0.08333333333333333,0.125
MuRE,InverseEditHistoryNegativeSampler,http://www.wikidata.org/prop/direct/P27,1368.0,0.02932724024339478,0.0,0.041666666666666664,0.08333333333333333
MuRE,EditHistoryNegativeSampler (no edit wars),http://www.wikidata.org/prop/direct/P27,3345.8333333333335,0.061884798429263754,0.0,0.125,0.125
MuRE,BasicNegativeSampler,http://www.wikidata.org/prop/direct/P27,2493.75,0.11681027348895406,0.08333333333333333,0.125,0.16666666666666666
RotatE,EditHistoryNegativeSampler,http://www.wikidata.org/prop/direct/P36,19330.18181818182,0.00323457100811002,0.0,0.0,0.0
RotatE,InverseEditHistoryNegativeSampler,http://www.wikidata.org/prop/direct/P36,20010.227272727272,0.032471226443159557,0.0,0.045454545454545456,0.13636363636363635
RotatE,EditHistoryNegativeSampler (no edit wars),http://www.wikidata.org/prop/direct/P36,26070.31818181818,0.001003309351032069,0.0,0.0,0.0
RotatE,BasicNegativeSampler,http://www.wikidata.org/prop/direct/P36,18689.272727272728,0.009223254070210518,0.0,0.0,0.0
TransE,EditHistoryNegativeSampler,http://www.wikidata.org/prop/direct/P36,36376.77272727273,0.0008379318465769499,0.0,0.0,0.0
TransE,InverseEditHistoryNegativeSampler,http://www.wikidata.org/prop/direct/P36,43770.63636363636,0.0026277792501170722,0.0,0.0,0.0
TransE,EditHistoryNegativeSampler (no edit wars),http://www.wikidata.org/prop/direct/P36,32649.363636363636,0.0011998288935307357,0.0,0.0,0.0
TransE,BasicNegativeSampler,http://www.wikidata.org/prop/direct/P36,19609.363636363636,0.0004913129376645223,0.0,0.0,0.0
MuRE,EditHistoryNegativeSampler,http://www.wikidata.org/prop/direct/P36,15575.272727272728,0.0460056849243089,0.0,0.09090909090909091,0.09090909090909091
MuRE,InverseEditHistoryNegativeSampler,http://www.wikidata.org/prop/direct/P36,15002.59090909091,0.02102966662359391,0.0,0.045454545454545456,0.09090909090909091
MuRE,EditHistoryNegativeSampler (no edit wars),http://www.wikidata.org/prop/direct/P36,18372.954545454544,0.02544532288079485,0.0,0.045454545454545456,0.045454545454545456
MuRE,BasicNegativeSampler,http://www.wikidata.org/prop/direct/P36,11398.727272727272,0.004802091801290932,0.0,0.0,0.0
RotatE,EditHistoryNegativeSampler,http://www.wikidata.org/prop/direct/P30,5010.193181818182,0.028742410752751538,0.0,0.022727272727272728,0.045454545454545456
RotatE,InverseEditHistoryNegativeSampler,http://www.wikidata.org/prop/direct/P30,907.9090909090909,0.5279011428030512,0.4318181818181818,0.6477272727272727,0.7045454545454546
RotatE,EditHistoryNegativeSampler (no edit wars),http://www.wikidata.org/prop/direct/P30,5225.829545454545,0.2192873937978901,0.1590909090909091,0.25,0.36363636363636365
